			PRICE	Mortg	Rent	1H	2H	3H	HOTEL	HOUSEPRICE	HOTELPRICE
PASQUERILLA EAST	60	30	2	10	30	90	250	50		250
PASQUERILLA WEST	60	30	4	20	60	180	450	50		450
SEIGFRIED HALL		100	50	6	30	90	270	550	50		550
LEWIS HALL		100	50	6	30	90	270	550	50		550
CARROLL HALL		120	60	8	40	100	300	600	50		600
FISHER HALL		140	70	10	50	150	450	750	100		750
DILLON HALL		140	70	10	50	150	450	750	100		750
ALUMNI HALL		160	80	12	60	180	500	900	100		900
BADIN HALL		180	90	14	70	200	550	950	100		950
HOWARD HALL		180	90	14	70	200	550	950	100		950
LYONS HALL		200	100	16	80	220	600	1000	100		1000
RYAN HALL		220	110	18	90	250	700	1050	150		1050
MCGLINN HALL		220	110	18	90	250	700	1050	150		1050
WELSH FAMILY		240	120	20	100	300	750	1100	150		1100
O'NEILL HALL		260	130	22	110	330	800	1150	150		1150
KEOUGH HALL		260	130	22	110	330	800	1150	150		1150
DUNCAN HALL		280	140	24	120	360	850	1200	150		1200
COMPTON ICE ARENA	300	150	26	130	390	900	1275	200		1275
J.A.C.C.		300	150	26	130	390	900	1275	200		1275
NOTRE DAME STADIUM	320	160	28	150	450	1000	1400	200		1400
MAIN BUILDING		350	175	35	175	500	1100	1500	200		1500	
THE GROTTO		400	200	50	200	600	1400	2000	200		2000
